,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.24602436,0.4650004,0.6377176
1,0.44001123,0.29616255,0.58091277
2,0.45736519,0.51477706,0.55571663
3,0.5406464,0.3384913,0.3449652
4,0.4089656,0.47182375,0.7992309
5,0.4786422,0.3809452,0.5007156
6,0.42799327,0.30525765,0.5206273
7,0.29515034,0.42384657,0.3377041
8,0.59169954,0.473549,0.46059495
9,0.35021296,0.43175718,0.52873033
10,0.33555683,0.47208697,0.41985035
11,0.40348274,0.2369893,0.3646499
12,0.5616365,0.698755,0.4470152
13,0.6822348,0.67994833,0.46421972
14,0.73871696,0.38388798,0.6617606
15,0.68692577,0.6461741,0.37249234
16,0.3259908,0.6458836,0.411862
17,0.1695703,0.5448111,0.30720767
18,0.67340577,0.43889615,0.22509396
19,0.4146276,0.4106781,0.30128527
20,0.46258432,0.650324,0.45086133
21,0.27078214,0.3365233,0.4642614
22,0.29979986,0.51226646,0.29203725
23,0.16767584,0.3604497,0.3843288
24,0.26411813,0.13854428,0.32724935
25,0.26869118,0.18204316,0.5742278
26,0.29643208,0.3025192,0.30549845
27,0.5593019,0.355952,0.23124859
28,0.3321154,0.8023007,0.5318689
29,0.3411346,0.28643945,0.17933077
30,0.28624645,0.24719834,0.31073084
31,0.31666988,0.31281552,0.37425286
32,0.31590098,0.51711583,0.25720924
33,0.32430017,0.2419269,0.27646255
34,0.29261062,0.31322855,0.22730707
35,0.34336817,0.2150564,0.21528743
36,0.38310558,0.1881982,0.3517168
37,0.28127962,0.23576295,0.34066105
38,0.23899506,0.29588318,0.3376769
39,0.20479563,0.27549165,0.35489753
40,0.37558493,0.30281916,0.36047652
41,0.38149923,0.3270468,0.28821242
42,0.38970864,0.3073966,0.39092422
43,0.3996553,0.2884094,0.2671718
44,0.3116618,0.23276524,0.33529425
45,0.30436853,0.22130567,0.30436853
46,0.24724025,0.3073236,0.29477483
47,0.23367393,0.2380837,0.30336326
48,0.3044199,0.27055457,0.25379395
49,0.28709692,0.32709813,0.25217798
50,0.27698252,0.36329734,0.20925798
51,0.31670058,0.23998249,0.32731032
52,0.28977084,0.37312174,0.2612448
53,0.29017955,0.23738725,0.31153607
54,0.20074502,0.20446655,0.29313254
55,0.2512337,0.26837164,0.38956448
56,0.22691554,0.35956708,0.2422328
57,0.42028138,0.36509675,0.32868177
58,0.35054967,0.21950197,0.23222308
59,0.313683,0.26865757,0.22963004
60,0.25535002,0.26627102,0.29430524
61,0.31189314,0.32823113,0.3168667
62,0.3089312,0.25163916,0.23791139
63,0.24503747,0.29050964,0.28888464
64,0.35154825,0.35320026,0.30401722
65,0.4571245,0.2390173,0.30974996
66,0.5248649,0.2984872,0.4521341
67,0.31971475,0.2996442,0.22591002
68,0.28710824,0.3336549,0.31608582
69,0.3555817,0.29952207,0.3634458
70,0.30345532,0.40071347,0.31171256
71,0.32994848,0.32042852,0.29065418
72,0.23591653,0.34496954,0.34888446
73,0.33437708,0.40580842,0.32716376
74,0.34230635,0.356342,0.34474933
75,0.4077121,0.35085118,0.26079804
76,0.34344962,0.31786543,0.3456657
77,0.2893553,0.33900872,0.38138977
78,0.32962185,0.3596411,0.31861523
79,0.3773759,0.40750995,0.33894962
80,0.35507667,0.37162402,0.43562973
81,0.3394128,0.41200984,0.39071077
82,0.37945002,0.4243049,0.37945002
83,0.39098814,0.36335886,0.34741646
84,0.37812844,0.43513525,0.48724243
85,0.39863142,0.44185483,0.31715223
86,0.433664,0.3764859,0.50955105
87,0.4285823,0.39084846,0.42727998
88,0.49494454,0.47636116,0.40036216
89,0.381677,0.3930826,0.49954775
90,0.402673,0.33854404,0.44392347
91,0.57120407,0.47353616,0.60002065
92,0.46117344,0.37750393,0.4425654
93,0.4219452,0.5693525,0.51107424
94,0.40850896,0.51224947,0.55981576
95,0.41860965,0.5183915,0.6151991
96,0.5942207,0.4988715,0.6319838
97,0.46835136,0.5053272,0.56103754
98,0.4854508,0.5792808,0.5892709
99,0.58887994,0.56316733,0.6433785
100,0.52952075,0.58879626,0.6652951
101,0.57945216,0.51343745,0.5739947
102,0.56898993,0.66939247,0.4401507
103,0.52579916,0.52579916,0.68088007
104,0.6304559,0.6113247,0.6230967
105,0.7027471,0.6163206,0.6271378
106,0.6378189,0.6586203,0.51947623
107,0.59349364,0.5954975,0.6463083
108,0.7134451,0.4637749,0.6943905
109,0.65018815,0.7179873,0.70255053
110,0.6883619,0.7150256,0.7353583
111,0.6136864,0.60980994,0.7245803
112,0.6050172,0.6579797,0.6713259
113,0.7473999,0.7249153,0.71708375
114,0.6006655,0.6681861,0.642977
115,0.71029407,0.66367495,0.6023342
116,0.65348715,0.59735614,0.7359202
117,0.7163938,0.6724028,0.74025184
118,0.7104369,0.7366828,0.77129185
119,0.7906305,0.71395713,0.5771152
120,0.78923255,0.7459956,0.73430663
121,0.7217218,0.69437546,0.74144214
122,0.7073137,0.70801723,0.73991907
123,0.724447,0.7348222,0.71272564
124,0.6688196,0.71909434,0.73213345
125,0.7305188,0.7320977,0.7326875
126,0.7372097,0.7002954,0.72326
127,0.6535715,0.6918999,0.73846143
128,0.6901236,0.724942,0.75808054
129,0.8043296,0.73489493,0.7966278
130,0.7289174,0.6831246,0.747767
131,0.6573234,0.67137647,0.7452464
132,0.75012004,0.65895706,0.74676055
133,0.7269709,0.7114637,0.7083154
134,0.7363,0.7339948,0.73689413
135,0.7155461,0.70948046,0.685058
136,0.75114834,0.7327272,0.7147674
137,0.69339234,0.7442645,0.7296328
138,0.73144895,0.7137245,0.7361252
139,0.6848909,0.6837704,0.74184746
140,0.75742704,0.74483645,0.6989352
141,0.7111486,0.7241023,0.71793187
142,0.7338103,0.71946335,0.70309114
143,0.7010143,0.70818555,0.7069798
144,0.72913176,0.7277796,0.7105494
145,0.7308676,0.73114514,0.7315596
146,0.7205063,0.6801257,0.7503153
147,0.72944033,0.72280145,0.72852886
148,0.7302273,0.7146364,0.71144134
149,0.7492147,0.70928115,0.7492147
150,0.6633389,0.73765147,0.7011155
151,0.72133505,0.7389845,0.7287974
152,0.7336522,0.78170234,0.7217609
153,0.72250515,0.7185912,0.7139865
154,0.7126977,0.67232585,0.67232585
155,0.70613503,0.7256499,0.70687896
156,0.6884921,0.76724416,0.71789193
157,0.69983244,0.75856394,0.7058117
158,0.68474925,0.71838135,0.70928884
159,0.7253595,0.727402,0.7307819
160,0.7181494,0.7150179,0.6868758
161,0.72319096,0.72693133,0.7198704
162,0.8014234,0.68786556,0.73708934
163,0.7280953,0.73335123,0.7146769
164,0.7596814,0.6915171,0.73809564
165,0.7368448,0.74131644,0.73911756
166,0.70919406,0.7273422,0.7301188
167,0.74243504,0.6984855,0.7339954
168,0.71728194,0.7309094,0.7289961
169,0.76735747,0.7247646,0.6642927
170,0.72016376,0.7283318,0.79149866
171,0.77281356,0.72276676,0.7119806
172,0.71883476,0.7839509,0.81692946
173,0.7190237,0.7305973,0.713261
174,0.7304547,0.8730552,0.8214051
175,0.732966,0.7561057,0.8077943
