,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.221839,0.39410084,0.60712683
1,0.40253007,0.26974398,0.5523426
2,0.41945142,0.46719658,0.56945795
3,0.46655568,0.3029224,0.28240553
4,0.3680098,0.3954109,0.7741842
5,0.43054467,0.31765667,0.5067473
6,0.3777858,0.25515622,0.52558273
7,0.25381303,0.3425234,0.27741593
8,0.5396493,0.469037,0.4363355
9,0.3075219,0.39001393,0.4681879
10,0.26836157,0.46245232,0.38143343
11,0.3281194,0.20766841,0.29325625
12,0.5444424,0.65963393,0.39842236
13,0.65098053,0.6365265,0.40380302
14,0.69347,0.32738674,0.64398783
15,0.63026553,0.6571772,0.32165253
16,0.25298494,0.59693116,0.38094696
17,0.11566036,0.52523994,0.27626854
18,0.63399106,0.39317352,0.1743382
19,0.37344956,0.341246,0.24747503
20,0.40080866,0.6468191,0.39111492
21,0.2207434,0.27896574,0.41154256
22,0.2474223,0.5185643,0.2366778
23,0.13114958,0.31779227,0.3346556
24,0.23356311,0.087581754,0.2934619
25,0.22463238,0.11977179,0.5078218
26,0.24593097,0.25699282,0.27050433
27,0.5325283,0.30095297,0.16553791
28,0.31812605,0.77252257,0.5256171
29,0.2830169,0.2619096,0.14514114
30,0.26889172,0.19388935,0.268576
31,0.28240705,0.26312718,0.34131986
32,0.25874183,0.4882164,0.2106631
33,0.29124677,0.21816722,0.24136169
34,0.2549546,0.2815463,0.19740298
35,0.32283822,0.1881902,0.1937787
36,0.34750912,0.15475762,0.3357646
37,0.26270968,0.19044828,0.32542917
38,0.20778391,0.2712813,0.31479892
39,0.16471723,0.2534269,0.33853167
40,0.3679805,0.27382812,0.34797028
41,0.36906078,0.3054274,0.26867497
42,0.375926,0.2835442,0.3828301
43,0.36596113,0.27025726,0.24995771
44,0.2956154,0.20074515,0.32112637
45,0.28484294,0.1991749,0.28484294
46,0.22417845,0.28749228,0.27862138
47,0.20751917,0.21968558,0.28688997
48,0.28383723,0.25146338,0.2308242
49,0.26898295,0.31720704,0.23166107
50,0.2604016,0.35578424,0.18242335
51,0.30295292,0.22085255,0.31546256
52,0.27182946,0.36343938,0.2433623
53,0.2767652,0.21104722,0.30097303
54,0.16667694,0.18374486,0.2790496
55,0.23049527,0.24973324,0.3886101
56,0.20746164,0.34925887,0.21980707
57,0.4208578,0.35665864,0.3206869
58,0.34107903,0.19751666,0.21489206
59,0.30691215,0.25398836,0.21109913
60,0.24107754,0.24885513,0.28066787
61,0.29927793,0.31978965,0.30478746
62,0.2951489,0.2357963,0.22174396
63,0.22407179,0.27465415,0.27600566
64,0.3466259,0.34463227,0.29172856
65,0.4588964,0.2208403,0.30063626
66,0.53247225,0.28793147,0.45638087
67,0.30839667,0.28791764,0.20448855
68,0.27498934,0.3260407,0.30734307
69,0.34767848,0.28566357,0.3569959
70,0.29407048,0.4034161,0.29890877
71,0.31736624,0.31156132,0.27805346
72,0.21513353,0.33600828,0.34081274
73,0.3247329,0.40560752,0.31804127
74,0.33353612,0.34857392,0.33517057
75,0.40727773,0.3419003,0.24657781
76,0.33199298,0.31022745,0.33659557
77,0.2730941,0.3289818,0.3788572
78,0.31975898,0.35486057,0.3093437
79,0.37168643,0.4069578,0.32917196
80,0.3482113,0.36740857,0.4377474
81,0.33149824,0.4130871,0.3873847
82,0.37574506,0.42013317,0.37574506
83,0.38894796,0.35920995,0.33843404
84,0.37450665,0.43623295,0.49594894
85,0.3983182,0.44324377,0.3033696
86,0.4344963,0.3727281,0.52163786
87,0.43104994,0.3882173,0.4275879
88,0.5012464,0.48296162,0.39831626
89,0.3785515,0.39024827,0.5115043
90,0.4007313,0.33132342,0.44761023
91,0.5874222,0.48147014,0.62883294
92,0.46552017,0.37380946,0.44626963
93,0.4206608,0.5863924,0.51693976
94,0.40832284,0.5256408,0.5801283
95,0.42010108,0.53285027,0.6399178
96,0.611941,0.5094151,0.6617757
97,0.47120717,0.5204862,0.5832383
98,0.4937227,0.6029333,0.60954463
99,0.6150383,0.5800872,0.6730431
100,0.5431199,0.6108206,0.6991543
101,0.60450023,0.5235541,0.5937401
102,0.58733445,0.71071345,0.44210336
103,0.53694654,0.53694654,0.721995
104,0.6597788,0.6374322,0.64501625
105,0.7495937,0.6421022,0.6549796
106,0.6681786,0.693597,0.52934533
107,0.6160955,0.6175417,0.67623276
108,0.7582913,0.47012213,0.73136955
109,0.6767727,0.75905037,0.74031705
110,0.7245849,0.7554043,0.7808707
111,0.6382693,0.63733494,0.7655967
112,0.6286663,0.68866724,0.7043772
113,0.8100877,0.7685866,0.7669129
114,0.6224564,0.7032232,0.6776329
115,0.74903786,0.69576126,0.62352103
116,0.68681604,0.62050617,0.7868061
