,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.28749803,0.1970404,0.5804509
1,0.40024298,0.33047843,0.526598
2,0.34394315,0.3916595,0.7022294
3,0.2529929,0.30291995,0.19696549
4,0.32996514,0.21048595,0.6358782
5,0.35202304,0.21182129,0.59646106
6,0.28972128,0.16782926,0.6014313
7,0.24956167,0.14745434,0.15144567
8,0.44685987,0.55474746,0.44638598
9,0.3082723,0.35656062,0.27647194
10,0.15588592,0.53085715,0.34704724
11,0.17012379,0.2565651,0.1505374
12,0.5752408,0.5585015,0.33535254
13,0.541086,0.5190271,0.20938896
14,0.58277386,0.26722655,0.6289934
15,0.4675269,0.75374514,0.21961993
16,0.09143588,0.46601263,0.4310547
17,0.105425194,0.5715403,0.21824275
18,0.52188545,0.33823147,0.14842753
19,0.31538126,0.15150094,0.13059878
20,0.2798758,0.70489067,0.2357967
21,0.21018629,0.22921005,0.3342044
22,0.21432015,0.6509723,0.14436704
23,0.15111108,0.26990354,0.3177658
24,0.20987889,0.09048495,0.29646063
25,0.1393854,0.05005994,0.32905528
26,0.17888993,0.16559958,0.31642497
27,0.4562472,0.28305772,0.062879555
28,0.3943877,0.5990297,0.60558367
29,0.14208314,0.24279007,0.14830814
30,0.3102142,0.09655402,0.2635101
31,0.23464382,0.16729493,0.24652283
32,0.1161522,0.48487386,0.18539743
33,0.29944164,0.2593948,0.31575137
34,0.2706191,0.31792963,0.19049954
35,0.3877921,0.21227875,0.23528273
36,0.31604302,0.16773887,0.3876923
37,0.33688512,0.15524794,0.42370692
38,0.28878173,0.3335745,0.36896342
39,0.1967951,0.29473636,0.41122454
40,0.47099194,0.34921274,0.37174335
41,0.42944148,0.36227283,0.33572114
42,0.41924456,0.3040378,0.48103043
43,0.35452637,0.30300024,0.31297675
44,0.36983818,0.2325132,0.38923344
45,0.3229871,0.22249003,0.3229871
46,0.28617883,0.3604421,0.3783331
47,0.26217982,0.30261213,0.33531207
48,0.3377221,0.32290316,0.27643806
49,0.34125075,0.4056819,0.3069802
50,0.33866075,0.46719596,0.24462384
51,0.38003382,0.27956095,0.403763
52,0.33849406,0.47821093,0.31117132
53,0.35615766,0.26140007,0.40770414
54,0.18686274,0.23526992,0.3684305
55,0.2829499,0.3157653,0.49268854
56,0.2871346,0.4451,0.28047755
57,0.52906704,0.4641385,0.4263263
58,0.42815277,0.25161317,0.29091567
59,0.42465773,0.3575789,0.28335896
60,0.35827142,0.31558928,0.35729042
61,0.38663393,0.41342422,0.38662082
62,0.3873435,0.33582205,0.3272192
63,0.27912104,0.34242773,0.37483555
64,0.46054462,0.43077424,0.37977615
65,0.5756636,0.2987646,0.39761192
66,0.6451699,0.39154303,0.56616855
67,0.39022768,0.39116618,0.26933348
68,0.37702876,0.43472305,0.4053895
69,0.44702893,0.37193438,0.45936581
70,0.40059376,0.52898794,0.38970116
71,0.40815812,0.41996536,0.37165123
72,0.28162354,0.43113744,0.44122437
73,0.4227905,0.50785816,0.41660154
74,0.43159947,0.44051477,0.4318437
75,0.51783067,0.42712724,0.3375971
76,0.42074338,0.42275885,0.43090034
77,0.3521705,0.4268811,0.48198766
78,0.40911806,0.46700525,0.41227427
79,0.471391,0.5082504,0.41336784
80,0.45204076,0.4737728,0.55685973
81,0.42919624,0.53713554,0.5036447
82,0.47768998,0.52075964,0.47768998
83,0.491118,0.46107718,0.42819923
84,0.4882344,0.54218924,0.6156311
85,0.5202727,0.5620164,0.39127165
86,0.53893095,0.47625455,0.63652074
87,0.54145473,0.5036691,0.529
88,0.6061818,0.5946677,0.50471365
89,0.4859518,0.49770564,0.64253443
90,0.5012773,0.43114564,0.5601222
91,0.704137,0.598468,0.786764
92,0.5766957,0.47499093,0.55956477
93,0.5326329,0.7263865,0.62262416
94,0.51271355,0.6551324,0.7194242
95,0.5302055,0.6721724,0.7721997
96,0.7354974,0.63518274,0.800518
97,0.5717388,0.65136385,0.7311314
98,0.6025464,0.74793553,0.73961776
99,0.7784317,0.70153564,0.8250247
100,0.6741942,0.74180734,0.84313256
101,0.73931944,0.6404138,0.7198396
102,0.7270938,0.8822518,0.5467815
103,0.6504029,0.6504029,0.89292306
104,0.8039427,0.77543515,0.77831906
105,0.93608284,0.76951283,0.8094357
106,0.8185547,0.85557777,0.6394452
107,0.74894303,0.770248,0.84854376
108,0.92400384,0.5854654,0.87639827
109,0.8074049,0.91054803,0.8984089
110,0.8605834,0.9154932,0.9373415
111,0.7786494,0.7802785,0.9147824
112,0.7641559,0.84276766,0.8415588
113,0.9878755,0.9305462,0.95109206
114,0.754729,0.8534805,0.8634537
115,0.8843576,0.8482555,0.7611151
116,0.8302528,0.75761193,0.95916766
117,0.91555345,0.86605936,0.9678177
118,0.95400965,0.9719902,0.95963144
119,0.9947068,0.92758214,0.7283382
120,0.9656969,0.9539193,0.9434053
121,0.95169175,0.8741381,0.965619
122,0.9309357,0.9011229,0.9616809
123,0.9273385,0.95723754,0.93404025
124,0.86833346,0.9708365,0.9510491
125,0.97831553,0.93144596,0.9444351
126,0.9733561,0.89484775,0.95127046
127,0.82968485,0.9012975,0.9737678
128,0.88627994,0.9707051,0.9785124
129,0.9850685,0.92606306,0.97835964
130,0.9766668,0.89600754,0.98861337
131,0.868235,0.9113632,0.98643094
132,0.9861667,0.90730196,0.98992884
133,0.9579757,0.9376464,0.9372292
134,0.97539276,0.9585464,0.9665674
135,0.95029926,0.9352925,0.9028963
136,0.9931926,0.98568285,0.9441934
137,0.9202838,0.9840505,0.976923
138,0.9792868,0.93050754,0.9858175
139,0.90166765,0.89666307,0.9768752
140,0.96718276,0.9703343,0.96761245
141,0.9591496,0.9813844,0.9308939
142,0.97764105,0.9741714,0.9288501
143,0.91198045,0.96785134,0.95994014
144,0.97276306,0.9845768,0.94818145
145,0.9835995,0.963788,0.9859934
146,0.9833417,0.8824192,0.979324
147,0.9635488,0.9561619,0.9640317
148,0.9801788,0.96903276,0.92421377
149,0.9847162,0.95651716,0.9847162
150,0.8941709,0.98957783,0.9510985
151,0.956438,0.9726942,0.9791845
152,0.9609916,0.9949344,0.9733049
153,0.98137856,0.9731011,0.95128983
154,0.975217,0.9028648,0.9028648
155,0.96128094,0.9816035,0.9718617
156,0.9129672,0.98938125,0.94852465
157,0.9527456,0.9891445,0.9773171
158,0.91933835,0.9618306,0.9708723
159,0.97585005,0.96100724,0.9669913
160,0.9618072,0.9654394,0.9312268
161,0.97393876,0.96852803,0.96795195
162,0.9882018,0.90714395,0.980451
163,0.9802324,0.97536945,0.9632956
164,0.97399455,0.9505205,0.9841884
165,0.9774958,0.98042125,0.98170835
166,0.9740862,0.9807934,0.9791852
167,0.97857255,0.96246064,0.9784222
168,0.97387123,0.9834159,0.9768403
169,0.98724425,0.9635537,0.8979618
170,0.9779557,0.98099756,0.92400205
171,0.9592327,0.97096825,0.963983
172,0.9589518,0.92212164,0.9159668
173,0.96814114,0.97521806,0.96859896
174,0.9797394,0.94049585,0.9462097
175,0.9816951,0.95895624,0.96656394
176,0.97162837,0.9773499,0.9690969
177,0.93110806,0.978585,0.9542725
178,0.8587474,0.9763865,0.95131576
179,0.97513527,0.9771912,0.9835615
180,0.95931214,0.9875667,0.9329544
181,0.96949387,0.9683939,0.9727712
182,0.9814503,0.96656394,0.9761229
183,0.9276167,0.9050686,0.9786605
184,0.9785237,0.9734298,0.9868759
185,0.9650414,0.90162987,0.97546387
186,0.98274976,0.92508227,0.98676574
187,0.9820084,0.99101615,0.89715195
188,0.91781276,0.9786289,0.98542005
189,0.84876287,0.9262261,0.98438954
190,0.97191644,0.982146,0.9885508
191,0.98096055,0.96940744,0.9271828
192,0.9746347,0.9754632,0.89607453
193,0.9136838,0.9742093,0.9706893
194,0.9805189,0.87738794,0.9244285
195,0.9626438,0.9801083,0.87254053
196,0.9805506,0.94032407,0.9949097
197,0.89685833,0.9631685,0.97747713
198,0.9534061,0.91775227,0.9239494
199,0.98963565,0.910555,0.94334984
200,0.92017305,0.9054573,0.9747504
201,0.92809695,0.95156956,0.98837566
202,0.944891,0.95832354,0.9401329
203,0.9636535,0.9500012,0.9561092
204,0.8536082,0.9746502,0.98109996
205,0.96505994,0.9084743,0.9502247
206,0.9501514,0.92322177,0.94998944
207,0.8933945,0.8769005,0.88652825
208,0.93445903,0.91949606,0.9451398
209,0.92781156,0.95981216,0.9347647
210,0.9361938,0.96050996,0.8984217
211,0.8928524,0.8794752,0.986921
212,0.9150982,0.91523707,0.89569646
213,0.861288,0.9273378,0.93885595
214,0.92633176,0.8902698,0.9034297
215,0.86367196,0.98954946,0.8260435
216,0.87655866,0.98711634,0.87911755
217,0.9446132,0.933326,0.9259779
218,0.90045637,0.8217301,0.90947163
219,0.9671917,0.9096888,0.90627617
220,0.93776935,0.91192865,0.9201052
221,0.8923547,0.867907,0.8489685
222,0.89129055,0.8626651,0.843138
223,0.8848387,0.97457576,0.96036124
224,0.8862511,0.836218,0.9701117
225,0.86339533,0.9068686,0.9740746
226,0.89134604,0.901541,0.88820267
227,0.9507388,0.8711192,0.90566474
228,0.895565,0.89013857,0.8766371
229,0.9578834,0.91546774,0.8953968
230,0.92099994,0.91287845,0.8389775
231,0.96630627,0.8630101,0.86200684
232,0.94595015,0.7816938,0.8942955
233,0.866229,0.93609244,0.94981414
234,0.8450799,0.8287481,0.9583443
235,0.8651648,0.88109934,0.96611494
236,0.856175,0.9488701,0.9572857
237,0.8244675,0.8129323,0.87304753
238,0.8193125,0.83309835,0.9165248
239,0.8117627,0.8205245,0.8356678
240,0.9130786,0.8208302,0.85658103
241,0.8364018,0.94037753,0.9100465
242,0.83027196,0.9003985,0.89153737
243,0.82434833,0.9366721,0.8960915
244,0.79850525,0.84582645,0.79052705
245,0.84958094,0.81900406,0.83217424
246,0.94648165,0.867241,0.94866717
247,0.9130852,0.81047976,0.9141642
248,0.8323545,0.8151436,0.89640635
249,0.82440186,0.8398264,0.8461544
250,0.8230751,0.82708097,0.9500031
251,0.77317905,0.7704393,0.77949864
252,0.8029909,0.9642949,0.85604864
253,0.8457673,0.90286547,0.91556156
254,0.7463321,0.75372314,0.7845952
255,0.76630193,0.7786838,0.7872519
256,0.78380936,0.81986374,0.87843335
257,0.8446766,0.8053244,0.8248571
258,0.83594894,0.865843,0.8132283
259,0.920221,0.78206587,0.8036425
260,0.9328702,0.8370712,0.8072021
261,0.7897118,0.8267385,0.7751638
262,0.7907347,0.8611051,0.8851719
263,0.8489083,0.80606604,0.8001824
264,0.82336915,0.7653327,0.89192075
265,0.7796351,0.888455,0.81546444
266,0.83454543,0.80634534,0.82951343
267,0.8453634,0.8133721,0.84467655
268,0.7641059,0.7533962,0.7692875
269,0.8365757,0.7942243,0.82952094
270,0.79301983,0.84059143,0.7934348
271,0.76731986,0.8032027,0.7780793
272,0.833655,0.75499743,0.74720895
273,0.76841533,0.8473632,0.8588353
274,0.7612386,0.73876894,0.7612386
275,0.74600685,0.81543595,0.81553715
276,0.75956255,0.82285845,0.749167
277,0.73319787,0.79602414,0.78191274
278,0.80266994,0.76452804,0.86564
