,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.5001592,0.28327525,0.6843335
1,0.58512545,0.5183407,0.61419284
2,0.3898631,0.506484,0.8270814
3,0.33446708,0.41882825,0.36442563
4,0.45617446,0.3221765,0.60455143
5,0.4753861,0.3689452,0.747257
6,0.42977569,0.25388077,0.74094075
7,0.39162797,0.2533877,0.23826283
8,0.57251984,0.7050094,0.5450403
9,0.507597,0.46162325,0.35788268
10,0.28581598,0.68866825,0.46949527
11,0.30168152,0.43816027,0.2597427
12,0.67753583,0.62456274,0.42421576
13,0.54764307,0.5801016,0.25923526
14,0.65658987,0.4612051,0.679036
15,0.5102895,0.8519968,0.3256672
16,0.2048564,0.5416749,0.5433903
17,0.3207552,0.6682802,0.27863425
18,0.59485245,0.48519066,0.30873367
19,0.40588823,0.2597263,0.18150061
20,0.40009624,0.7541641,0.34367174
21,0.44091585,0.44497955,0.43632552
22,0.39994994,0.7501468,0.26794806
23,0.29061198,0.40396637,0.51132613
24,0.2950306,0.2842089,0.4953737
25,0.28922966,0.17703323,0.40357375
26,0.2887789,0.31464976,0.5395847
27,0.5717659,0.4820307,0.18168376
28,0.57136095,0.5670576,0.75198007
29,0.22527823,0.37996295,0.3395333
30,0.44284052,0.19137083,0.4587042
31,0.2785903,0.27682364,0.29964533
32,0.20545246,0.61131793,0.35523045
33,0.5014796,0.4361007,0.52289957
34,0.46677825,0.50688237,0.355263
35,0.5982869,0.35131216,0.3767889
36,0.47594154,0.3253325,0.5401613
37,0.5244336,0.28987914,0.62107927
38,0.50617206,0.5305039,0.5288337
39,0.42638707,0.457115,0.5781876
40,0.647453,0.55523473,0.5025041
41,0.593326,0.50747365,0.5248491
42,0.5304423,0.48478702,0.6579423
43,0.49265274,0.45617753,0.4792012
44,0.55737036,0.4070807,0.5615051
45,0.46197423,0.36380213,0.46197423
46,0.5031843,0.5470694,0.5874187
47,0.47056141,0.48426697,0.471306
48,0.5056954,0.5137176,0.44333854
49,0.5251468,0.5827825,0.49828804
50,0.5263228,0.64665747,0.44370613
51,0.5789436,0.45585078,0.59125394
52,0.50885856,0.66136736,0.49500415
53,0.5377852,0.45982426,0.5829064
54,0.39458293,0.38959286,0.5539234
55,0.46382505,0.50169104,0.65209514
56,0.47976902,0.6229905,0.4616973
57,0.6843364,0.6454755,0.60274
58,0.61107934,0.42920917,0.46950766
59,0.60607547,0.5422967,0.4582243
60,0.53879637,0.49581555,0.5410903
61,0.57324684,0.5868224,0.5695491
62,0.5789899,0.5124515,0.49682546
63,0.45974937,0.5280328,0.5532018
64,0.6412851,0.6148439,0.55754274
65,0.7337563,0.4766562,0.5734707
66,0.7883895,0.5718792,0.72081745
67,0.56980175,0.57126456,0.45184782
68,0.56108946,0.6101725,0.5765221
69,0.6333449,0.5563434,0.6366336
70,0.58050287,0.68288624,0.5772271
71,0.6044636,0.59825724,0.5537039
72,0.4676257,0.6124348,0.62480056
73,0.60439205,0.67094445,0.59641814
74,0.60978216,0.62474674,0.61851645
75,0.68590856,0.606911,0.51949936
76,0.5978253,0.60284704,0.61450136
77,0.5336616,0.613003,0.6491869
78,0.59140944,0.64677054,0.5905981
79,0.64884233,0.6746418,0.5987296
80,0.6255698,0.6508082,0.71930844
81,0.60881925,0.6973256,0.68262935
82,0.6536066,0.69681084,0.6536066
83,0.6635658,0.6368834,0.6124447
84,0.6558878,0.70339984,0.7645989
85,0.68799955,0.72652864,0.5774445
86,0.7040911,0.6513096,0.7760847
87,0.707407,0.6797568,0.6961767
88,0.764911,0.7468874,0.6809551
89,0.66229415,0.6719109,0.7854114
90,0.67155224,0.6086202,0.7192264
91,0.83123535,0.7506815,0.8916521
92,0.731874,0.650533,0.71882194
93,0.7073702,0.8561783,0.7756604
94,0.6768653,0.79188776,0.8458696
95,0.6962355,0.80679494,0.8785412
96,0.8647816,0.7803655,0.89313704
97,0.7358937,0.7844385,0.8544716
98,0.7506084,0.86176336,0.8550826
99,0.89428586,0.82923526,0.91385347
100,0.81279385,0.8575326,0.91829324
101,0.8509178,0.78467625,0.8415277
102,0.8563149,0.94743896,0.7063657
103,0.79178643,0.79178643,0.95220214
104,0.8996804,0.88279665,0.89572364
105,0.9760907,0.87217,0.914834
106,0.9111503,0.9363246,0.78322405
107,0.8610265,0.88659865,0.9462565
108,0.96638083,0.7420817,0.9458142
109,0.90423566,0.9579025,0.9643187
110,0.9241975,0.973072,0.9684659
111,0.88784224,0.8795503,0.96485007
112,0.8764251,0.9345236,0.92004645
113,0.94778395,0.97212255,0.9819246
114,0.87154907,0.927228,0.9542011
115,0.9400931,0.93150514,0.8812113
116,0.9129544,0.87390935,0.9768917
117,0.96605945,0.93794256,0.9788897
118,0.99233615,0.90661836,0.97149223
119,0.9472586,0.9680155,0.84949577
120,0.96170235,0.9802136,0.9757314
121,0.9869111,0.93110275,0.97369957
122,0.98227626,0.9571465,0.97058004
123,0.9677408,0.9885604,0.98876417
