,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.9031515,0.57797116,0.84802926
1,0.89966846,0.85082847,0.80411893
2,0.56438726,0.6649204,0.94490266
3,0.59074855,0.65716666,0.6336419
4,0.70415646,0.51697963,0.5581548
5,0.6787496,0.6533277,0.94243187
6,0.6787917,0.42628744,0.9335833
7,0.66968644,0.52032524,0.42981923
8,0.7225593,0.941073,0.6849243
9,0.6630316,0.5912286,0.59273636
10,0.4700343,0.910068,0.7099078
11,0.5431288,0.794624,0.50120276
12,0.761835,0.75892067,0.5319852
13,0.5723917,0.7102069,0.44857976
14,0.64836353,0.60863364,0.7003799
15,0.5628745,0.8691239,0.6232233
16,0.49911112,0.73910445,0.588251
17,0.58709764,0.7328066,0.48118332
18,0.75418794,0.7195058,0.6317068
19,0.6114273,0.48064494,0.2551529
20,0.6539815,0.717017,0.47172877
21,0.7131774,0.706982,0.6913377
22,0.73343337,0.78713953,0.53854835
23,0.57240087,0.6636523,0.67418474
24,0.50310475,0.6345482,0.7723831
25,0.5548225,0.3979701,0.5769004
26,0.5181332,0.58196175,0.80566615
27,0.75367516,0.69543326,0.4938469
28,0.88903725,0.55118835,0.9401207
29,0.42225075,0.5933742,0.6402631
30,0.80094165,0.3997635,0.73211235
31,0.4335866,0.55184776,0.50526243
32,0.53084934,0.76342946,0.65066504
33,0.75029343,0.8124175,0.73866284
34,0.75378543,0.756476,0.6676037
35,0.8176023,0.6735878,0.77270305
36,0.801089,0.5937081,0.89432615
37,0.8737356,0.59868395,0.92138445
38,0.8033909,0.82811475,0.80786276
39,0.74525964,0.7984007,0.90102494
40,0.9526505,0.79681754,0.7460643
41,0.91506326,0.7837772,0.89292705
42,0.7784585,0.76185375,0.959535
43,0.7811883,0.7093155,0.87339234
44,0.907625,0.70001316,0.8954306
45,0.7702888,0.7748622,0.7702888
46,0.86429274,0.8984566,0.9358431
47,0.8530272,0.8830106,0.77695835
48,0.8754502,0.9169932,0.84129685
49,0.91252685,0.952969,0.89217275
50,0.91883636,0.96240556,0.8490506
51,0.9321826,0.8477039,0.9582455
52,0.884508,0.9628201,0.9067646
53,0.9364787,0.8599089,0.93480694
54,0.78643334,0.804104,0.9170096
55,0.8422266,0.9012704,0.974333
56,0.89497685,0.9586141,0.881908
57,0.95700294,0.9667828,0.9595225
58,0.9663573,0.8287756,0.88173926
59,0.9560214,0.9261123,0.86194956
60,0.90647215,0.88383466,0.91470695
61,0.94285214,0.96013933,0.9474248
62,0.9538343,0.8982838,0.8630483
63,0.8681315,0.92299837,0.93570024
64,0.9748641,0.9635266,0.9355623
65,0.9918896,0.88230723,0.9486499
66,0.9854736,0.9466132,0.9919805
67,0.9542468,0.93246716,0.86798614
