,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.24485505,0.44610074,0.6332388
1,0.43815732,0.29254907,0.57668114
2,0.4460368,0.50472295,0.5651397
3,0.5201706,0.32781115,0.33065048
4,0.4008953,0.45113817,0.79304546
5,0.47228855,0.36519453,0.5101962
6,0.41597033,0.2925386,0.53039527
7,0.28647906,0.40330374,0.321862
8,0.5807231,0.47947153,0.4575484
9,0.3421569,0.41839474,0.51381505
10,0.31762072,0.47640198,0.41161987
11,0.3856524,0.23309493,0.34606433
12,0.55922025,0.69000804,0.43374234
13,0.67498463,0.6704078,0.45067462
14,0.72526264,0.36878794,0.6582623
15,0.67354864,0.65693295,0.36113554
16,0.3063214,0.63408285,0.40011224
17,0.15468608,0.5376241,0.29926
18,0.6618853,0.43220738,0.21165712
19,0.4047152,0.39467296,0.28440022
20,0.4497692,0.64587164,0.4374261
21,0.25843048,0.32365513,0.44688132
22,0.28735188,0.51188016,0.28227443
23,0.15498166,0.35344017,0.3702833
24,0.2568493,0.12812935,0.32359707
25,0.2622719,0.16622457,0.555519
26,0.28678054,0.2956911,0.3017588
27,0.55763,0.33986083,0.2123807
28,0.33381027,0.7952342,0.53494245
29,0.3319264,0.28389356,0.17420106
30,0.2827643,0.23486382,0.30677858
31,0.30878407,0.30517069,0.37062743
32,0.30039048,0.51206064,0.24892513
33,0.32260254,0.23910595,0.2672199
34,0.2850405,0.30735934,0.22164443
35,0.34525704,0.20860778,0.2099881
36,0.3793461,0.17642418,0.35199878
37,0.28131425,0.2220614,0.34172738
38,0.23139186,0.29570746,0.33476207
39,0.19703564,0.27213442,0.35282755
40,0.3807116,0.29611838,0.36184424
41,0.38374344,0.32315186,0.28746203
42,0.38722944,0.30606765,0.39552695
43,0.39539027,0.28737262,0.2661796
44,0.31321996,0.22456211,0.3376094
45,0.30075055,0.21692707,0.30075055
46,0.24798864,0.30668923,0.29795808
47,0.23185314,0.23698983,0.30028826
48,0.30294296,0.27031827,0.24965467
49,0.28696954,0.3310747,0.25176442
50,0.2780592,0.36866465,0.20545048
51,0.32068223,0.23869395,0.33120078
52,0.2883564,0.37674168,0.26116025
53,0.2926819,0.23383477,0.31415164
54,0.19487461,0.20017283,0.29474112
55,0.24986306,0.2680301,0.3973649
56,0.22619687,0.36377957,0.23927744
57,0.42615288,0.36949012,0.333225
58,0.35554683,0.21654369,0.23159534
59,0.31960854,0.26998344,0.22797193
60,0.25625867,0.26614377,0.2967166
61,0.31484386,0.33258379,0.32074782
62,0.3116031,0.25152826,0.23626028
63,0.24305926,0.29197487,0.29091054
64,0.3584166,0.35927042,0.30634272
65,0.46512195,0.23792523,0.31394714
66,0.53491664,0.30188954,0.46240282
67,0.32352245,0.30208102,0.22331509
68,0.28976288,0.33818713,0.319956
69,0.36147147,0.30135375,0.36929208
70,0.3076367,0.40805075,0.31479263
71,0.3341032,0.32470006,0.29320547
72,0.23422115,0.3497162,0.35416362
73,0.33859912,0.41370767,0.33166057
74,0.34685215,0.36252952,0.34978443
75,0.41602293,0.35619378,0.26221427
76,0.34630916,0.32279688,0.35068363
77,0.28964812,0.34368137,0.38852587
78,0.33411956,0.3664655,0.3227914
79,0.3838347,0.4159744,0.34405747
80,0.36012462,0.37875152,0.44449988
81,0.3448128,0.4198542,0.39804736
82,0.38708785,0.43113092,0.38708785
83,0.39933467,0.37066922,0.35267627
84,0.38421148,0.44371435,0.49867913
85,0.4059769,0.4501412,0.31954187
86,0.44264406,0.3837467,0.52071804
87,0.4391329,0.39854687,0.43627146
88,0.5063756,0.48728654,0.40873998
89,0.38951102,0.40070322,0.50990975
90,0.41098803,0.3441975,0.45403638
91,0.58353746,0.48425984,0.6160097
92,0.47043124,0.38527033,0.45263693
93,0.42981845,0.5819402,0.5208049
94,0.41696912,0.5244981,0.57404673
95,0.42789572,0.53003085,0.6291778
96,0.60685027,0.5108125,0.64844
97,0.47845542,0.51803005,0.575639
98,0.49682504,0.59455574,0.6023749
99,0.6040812,0.57583255,0.6571675
100,0.541737,0.6033753,0.68206817
101,0.5963014,0.52452916,0.5881403
102,0.58216715,0.6872906,0.44931343
103,0.53720707,0.53720707,0.6973312
104,0.6461922,0.62683254,0.6364673
105,0.7186211,0.6317536,0.6419245
106,0.65295506,0.67543745,0.5307071
107,0.60726726,0.6084721,0.65925974
108,0.73144513,0.4744823,0.7101882
109,0.6641723,0.73364997,0.71894354
110,0.70499986,0.7310418,0.7516232
111,0.62805057,0.6242298,0.74012464
112,0.6195286,0.67154515,0.6871617
113,0.7662574,0.7406277,0.73486435
114,0.6138652,0.68322295,0.65870035
115,0.72692436,0.67828226,0.6146732
116,0.6701266,0.61127746,0.7535286
117,0.7336588,0.68809813,0.7581909
118,0.7236212,0.7514067,0.7873317
119,0.8070447,0.72909564,0.58905697
120,0.8026749,0.7622126,0.7507117
121,0.73578817,0.71160907,0.7596335
122,0.7227639,0.7251899,0.7580996
123,0.74024874,0.7502442,0.7255967
124,0.6838453,0.7341397,0.74934757
125,0.7453987,0.7474554,0.7480723
126,0.75228864,0.7166588,0.7378213
127,0.66526276,0.7071666,0.75541323
128,0.70451343,0.7408441,0.77325326
129,0.8185146,0.7510654,0.8091325
130,0.74390304,0.6941261,0.76524127
131,0.6694841,0.68267256,0.7592032
132,0.76494884,0.6700958,0.7635385
133,0.7423447,0.7245173,0.72004175
134,0.74837905,0.7485561,0.75152135
135,0.7294685,0.7237906,0.6999881
136,0.7666601,0.74785256,0.72761816
137,0.7072566,0.759063,0.7451467
138,0.74544394,0.72878295,0.7508626
139,0.6977838,0.695208,0.75582635
140,0.7751898,0.75950927,0.71145105
141,0.7235884,0.73904926,0.7318029
142,0.74920356,0.73442423,0.71604246
143,0.7163134,0.72132456,0.7213457
144,0.7433913,0.7420853,0.7229328
145,0.74552214,0.74311286,0.7470781
146,0.7350283,0.6906966,0.76639384
147,0.7437905,0.73781353,0.74322265
148,0.7430067,0.7290446,0.7247168
149,0.76445484,0.7226812,0.76445484
150,0.6730277,0.75315785,0.7148187
151,0.73365194,0.75422853,0.74337363
152,0.7486196,0.7959994,0.7351169
153,0.7364388,0.73124737,0.7277338
154,0.72598326,0.68302447,0.68302447
155,0.71915555,0.7396171,0.719445
156,0.70219845,0.7817641,0.72965
157,0.71269387,0.7744381,0.720825
158,0.6991052,0.73423743,0.7217885
159,0.73794866,0.73931396,0.7448648
160,0.73172355,0.7259341,0.70074046
161,0.73716223,0.7423078,0.7322677
162,0.81439334,0.7008015,0.74999624
163,0.741903,0.7462379,0.72795594
164,0.7716381,0.70213,0.7522701
165,0.7496434,0.7586065,0.7564016
166,0.72267157,0.7406405,0.74358547
167,0.7565032,0.7103093,0.74711937
168,0.7308497,0.74617064,0.74314994
169,0.7829992,0.73853546,0.67655325
170,0.7340415,0.74189156,0.8006987
171,0.7840734,0.7359626,0.7246828
172,0.7323562,0.79371357,0.82402235
173,0.73094994,0.743686,0.7266075
174,0.74370754,0.8795894,0.8296104
175,0.74774706,0.7678899,0.81788677
176,0.7300698,0.74415666,0.7456334
177,0.81179756,0.7382351,0.81062055
178,0.6361665,0.74007255,0.73147017
179,0.79888296,0.7429307,0.8166591
180,0.8578307,0.77897954,0.82344455
181,0.894916,0.8173153,0.74030066
182,0.73759395,0.71530044,0.7601942
183,0.84829986,0.90248364,0.841236
184,0.8522954,0.74675477,0.73937076
185,0.85528415,0.9475975,0.89275855
186,0.790969,0.8699591,0.745303
187,0.79187393,0.76677644,0.9636951
188,0.80915743,0.77220666,0.8313678
189,0.98921037,0.9089485,0.797277
190,0.8369103,0.7398599,0.78669846
191,0.80346704,0.859383,0.9116309
192,0.8791601,0.7500453,0.7783094
193,0.831654,0.84137344,0.7892671
194,0.85040474,0.9726767,0.92093754
195,0.8331016,0.82179654,0.9610887
196,0.76267487,0.86938924,0.8328141
197,0.90439045,0.72935903,0.8415032
198,0.8633251,0.8996824,0.919077
199,0.7572148,0.90922374,0.8308354
200,0.9192438,0.9155298,0.8000075
201,0.88317066,0.7279438,0.7756901
202,0.9312767,0.81301147,0.8769358
203,0.8752923,0.8963141,0.90710956
204,0.97634715,0.73459005,0.77374095
205,0.8501016,0.9549755,0.9194681
206,0.90684545,0.9255247,0.8228722
207,0.94872993,0.97924745,0.97806495
208,0.9265219,0.9351829,0.77735
209,0.9179703,0.8696405,0.9419378
210,0.9227808,0.9274446,0.95818496
211,0.92835987,0.97630656,0.88506114
212,0.9416455,0.9241261,0.9453794
213,0.98791987,0.94230324,0.93615115
214,0.9053962,0.976273,0.9676675
215,0.9776803,0.87189966,0.99367833
216,0.96385854,0.86600846,0.9767277
217,0.94292915,0.95922065,0.9107167
218,0.9559064,0.99025726,0.92428243
219,0.84043115,0.96591,0.9690723
220,0.8980444,0.8824269,0.7678525
221,0.9653195,0.98787755,0.9732528
222,0.9731635,0.9724472,0.99501836
223,0.9686339,0.90375876,0.8682085
224,0.94717324,0.9968005,0.8758706
225,0.974681,0.9270785,0.74729
226,0.95715886,0.97205144,0.97560805
227,0.93751997,0.9508783,0.9363754
228,0.93486357,0.9688866,0.98616534
229,0.924506,0.9417801,0.9533491
230,0.9433314,0.9548068,0.99155575
231,0.9040839,0.9870825,0.9712533
232,0.948412,0.9922285,0.96202195
233,0.9855063,0.9283862,0.91680926
234,0.98639864,0.9974125,0.87857604
235,0.98396325,0.97541434,0.8762976
236,0.98747855,0.8623387,0.94196516
237,0.99526197,0.9969512,0.9832605
238,0.9950861,0.99440837,0.96532875
239,0.99565095,0.98944354,0.9785593
240,0.95744264,0.9852537,0.9916026
241,0.996777,0.9294695,0.9597816
242,0.9920762,0.9788282,0.9488588
243,0.9939579,0.96324056,0.96952397
244,0.99343556,0.9905756,0.9963788
245,0.99423724,0.9944715,0.989165
246,0.9567003,0.9851512,0.9497512
247,0.95705855,0.9933555,0.95521575
248,0.99145347,0.9974828,0.97381794
249,0.97935903,0.9951426,0.9880295
250,0.9891365,0.9858398,0.8831535
251,0.99437463,0.9940572,0.9956567
252,0.9957147,0.9178197,0.9914807
253,0.9869748,0.95572096,0.9532133
254,0.98807555,0.9907282,0.98828965
255,0.9938385,0.9953301,0.99194294
256,0.99469584,0.9965744,0.98918957
257,0.99516237,0.99757195,0.99388796
258,0.99390894,0.97404504,0.99612284
259,0.91717637,0.9931843,0.99577576
260,0.89845103,0.98612756,0.9961875
261,0.99705875,0.9987233,0.9898469
262,0.99513644,0.99358,0.97881943
263,0.99545294,0.98529744,0.9975561
264,0.99944156,0.99006575,0.97363937
265,0.9917837,0.9814901,0.995301
266,0.9887312,0.9984806,0.9966203
267,0.9954026,0.9878068,0.9881705
268,0.9899639,0.9904979,0.99206746
269,0.9920052,0.9933693,0.9991264
270,0.99723643,0.9953544,0.99347407
271,0.98923224,0.9925521,0.98863757
272,0.97794795,0.988393,0.9821876
273,0.99181724,0.99018234,0.9955087
274,0.9912422,0.9834627,0.9912422
275,0.9897202,0.9985297,0.9963538
276,0.9899937,0.990707,0.98930085
277,0.9820236,0.9830964,0.99138963
278,0.9881829,0.98997533,0.9915869
279,0.9824144,0.98751307,0.98328936
280,0.9840531,0.99488956,0.9978529
281,0.9945075,0.9945075,0.9798853
282,0.99425757,0.9828804,0.991931
283,0.97899425,0.99427795,0.9880431
284,0.99307907,0.99213964,0.981599
285,0.9805487,0.9931454,0.9890232
286,0.9817912,0.9961642,0.9923028
287,0.9910199,0.99031574,0.9913405
288,0.9851321,0.9930712,0.9907795
289,0.9973564,0.9942497,0.98758805
290,0.98792654,0.99519676,0.9889486
291,0.99454796,0.9972064,0.99576
292,0.9939206,0.98872066,0.99037933
293,0.9932114,0.98617804,0.9752332
294,0.9840984,0.99430937,0.99308556
295,0.8758983,0.99120235,0.9934989
296,0.99273056,0.99321955,0.99646336
297,0.99069166,0.9739197,0.9762753
298,0.99306667,0.995779,0.9908494
299,0.98594904,0.9657683,0.98967063
300,0.99264556,0.97162586,0.98650694
301,0.98804504,0.9912861,0.96889323
302,0.9800417,0.9795432,0.9884356
303,0.8851331,0.99543655,0.99113524
304,0.9932774,0.9469943,0.9891967
305,0.9906538,0.970413,0.98639655
306,0.9874304,0.9947334,0.9775457
307,0.9937001,0.9944165,0.98910373
308,0.978148,0.9957109,0.9920022
309,0.9880951,0.98905677,0.99058336
310,0.99174434,0.99285346,0.9844189
311,0.9712621,0.92853355,0.9500451
312,0.9552519,0.9887267,0.9650766
313,0.9010856,0.9202647,0.986547
314,0.9901012,0.98823637,0.9903021
315,0.9958766,0.9682961,0.9526693
316,0.9934597,0.9875617,0.9834129
317,0.99337983,0.98027647,0.96460277
318,0.878854,0.9826323,0.96147656
319,0.9805233,0.9779106,0.97907585
320,0.9721356,0.9835476,0.98621243
321,0.98565394,0.96031773,0.9877675
322,0.9609015,0.9839942,0.93427795
323,0.91313094,0.9789891,0.92628527
324,0.98490095,0.98904216,0.9785064
325,0.97620976,0.9794121,0.9936744
326,0.98776394,0.9840346,0.98533493
327,0.9863858,0.9831845,0.98185563
328,0.98172283,0.97161835,0.97878146
329,0.98277986,0.8507938,0.90319043
330,0.96917945,0.92882526,0.9815988
331,0.9867726,0.9936366,0.9808889
332,0.78056616,0.9381797,0.99397427
333,0.99471575,0.9210346,0.9531744
334,0.9833266,0.89178056,0.98929924
335,0.984176,0.9410832,0.98535043
336,0.8386316,0.9925751,0.9973616
337,0.9057725,0.9826266,0.99055654
338,0.9745694,0.9883884,0.9722305
339,0.92176604,0.9501647,0.9965726
340,0.99177194,0.9738815,0.9558632
341,0.96785516,0.99511087,0.9908835
342,0.97695374,0.97695374,0.98883563
343,0.8973848,0.98887503,0.97938246
344,0.935169,0.9567892,0.99650687
345,0.959635,0.9893715,0.9749883
346,0.97864705,0.9796438,0.96315175
347,0.89765376,0.9840907,0.96142876
348,0.88390696,0.9877357,0.9939336
349,0.9809183,0.9917424,0.9978465
350,0.975203,0.97713727,0.95159525
351,0.82546735,0.82546735,0.9787527
352,0.9789013,0.9932941,0.9885769
353,0.9875648,0.9927081,0.9958505
354,0.9904783,0.9943121,0.965081
355,0.9712937,0.9880565,0.9932697
356,0.9929237,0.8951095,0.97952324
357,0.9536385,0.9796117,0.9550851
358,0.9869253,0.9726356,0.9966856
359,0.9727401,0.9760375,0.98100334
