,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.15412048,0.34279364,0.5538447
1,0.31186315,0.22149359,0.49812162
2,0.38674194,0.4101485,0.51039046
3,0.39589646,0.2748393,0.21453515
4,0.31039393,0.33148432,0.7439379
5,0.34509978,0.27976564,0.42271692
6,0.30888414,0.2226628,0.44370452
7,0.22478442,0.28336105,0.2374063
8,0.46229577,0.40048003,0.39163578
9,0.25399733,0.37416333,0.39456588
10,0.23884925,0.38679364,0.32205293
11,0.2663817,0.1421804,0.24398172
12,0.52684826,0.6087033,0.3779856
13,0.6147802,0.5850383,0.34445485
14,0.66011953,0.2866336,0.62816393
15,0.5846825,0.6131835,0.24745665
16,0.21539293,0.54706603,0.37952578
17,0.074217886,0.5221119,0.24958035
18,0.60219705,0.31052756,0.1307864
19,0.3344414,0.25932068,0.22775775
20,0.33114147,0.660649,0.31774637
21,0.17043978,0.22955139,0.39487916
22,0.1900667,0.52889496,0.1552947
23,0.11117414,0.25258386,0.29942408
24,0.20125824,0.038484693,0.21490131
25,0.13334292,0.08516544,0.45188567
26,0.18555404,0.17417835,0.20650586
27,0.44155225,0.27534744,0.13360761
28,0.2511861,0.72518635,0.47141466
29,0.1934364,0.1838576,0.079867125
30,0.22354019,0.14748712,0.18009153
31,0.2416541,0.1844765,0.25577646
32,0.21383604,0.43938494,0.13049631
33,0.19430019,0.16006175,0.21509598
34,0.20707898,0.24011777,0.15039033
35,0.24027868,0.16168505,0.15714021
36,0.26569426,0.12715188,0.2710058
37,0.19988129,0.17612642,0.27160257
38,0.17534801,0.20853029,0.26993167
39,0.111157924,0.19804445,0.2855577
40,0.29382896,0.24072592,0.2833621
41,0.30343968,0.26977316,0.2107123
42,0.33999678,0.21747282,0.3132057
43,0.2983088,0.21678476,0.19170035
44,0.23026355,0.17731944,0.25200903
45,0.24722047,0.154453,0.24722047
46,0.14016524,0.23029077,0.19818135
47,0.1381406,0.16804838,0.2522295
48,0.22222123,0.18824084,0.1898379
49,0.20316431,0.24233472,0.17065762
50,0.19135903,0.28339028,0.132256
51,0.22196956,0.16257659,0.23869006
