,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.20462894,0.14366324,0.5074635
1,0.3084354,0.26042423,0.45754284
2,0.28797287,0.333295,0.616451
3,0.17694233,0.23722029,0.14984149
4,0.2757335,0.16255115,0.5998674
5,0.2968053,0.148412,0.5053824
6,0.22090615,0.15183504,0.5149051
7,0.20008175,0.099768594,0.1263527
8,0.38841167,0.47066793,0.40543604
9,0.28008896,0.32100627,0.22134045
10,0.13088037,0.44594482,0.2872221
11,0.12602246,0.19313958,0.10870965
12,0.53384376,0.49332282,0.31057805
13,0.5002612,0.4574913,0.16414614
14,0.54330236,0.24304724,0.5923812
15,0.42941153,0.6909213,0.152076
16,0.03986046,0.39000794,0.4143439
17,0.0707694,0.51893884,0.17903678
18,0.45537913,0.27864406,0.09943214
19,0.27100363,0.109135605,0.12207868
20,0.22056025,0.6759799,0.18710601
21,0.1562746,0.18135867,0.27751583
22,0.15359324,0.6124634,0.09986499
23,0.09822164,0.21944031,0.29470098
24,0.18215616,0.040968224,0.22423117
25,0.0829529,0.022961687,0.27400115
26,0.13634212,0.113243766,0.26652628
27,0.3868486,0.23979463,0.012991472
28,0.31242177,0.55209136,0.52225244
29,0.09556599,0.19988202,0.10239337
30,0.23684217,0.072009265,0.21212012
31,0.19267379,0.107029095,0.18181111
32,0.048136525,0.417759,0.13554472
33,0.23893921,0.18471396,0.26822463
34,0.2167581,0.27521613,0.13852641
35,0.33076802,0.16208565,0.16140299
36,0.2384989,0.10302022,0.2993878
37,0.26292706,0.12720303,0.34636799
38,0.22972158,0.27033147,0.30790108
39,0.15130919,0.23408456,0.3281279
40,0.3823761,0.3014019,0.31112745
41,0.34179223,0.30064127,0.25533423
42,0.35359475,0.25037238,0.38958317
43,0.27319714,0.2395669,0.2264198
44,0.28458595,0.19328614,0.30177873
45,0.25617734,0.14775829,0.25617734
46,0.21018015,0.28414732,0.29228485
47,0.18921828,0.21945657,0.27022728
48,0.25525078,0.23239589,0.19977711
49,0.25461435,0.30470282,0.22154823
50,0.25041506,0.37639678,0.17385605
51,0.28885308,0.20246531,0.3066402
52,0.25586855,0.39430168,0.21747534
53,0.2558158,0.1859781,0.3171431
54,0.12173082,0.15913773,0.2824815
55,0.2099539,0.22906522,0.3880054
56,0.19714983,0.35176918,0.19389965
57,0.43105438,0.36768886,0.324483
58,0.3284972,0.1777709,0.20297906
59,0.32509202,0.26741967,0.20106627
60,0.27487484,0.2334808,0.26609722
61,0.29344952,0.30981144,0.291571
62,0.2897053,0.25038028,0.25098875
63,0.19788726,0.25002417,0.2799164
64,0.35689613,0.33320266,0.28469238
65,0.48075297,0.21437617,0.29752526
66,0.5584793,0.29128855,0.4614695
67,0.28625038,0.3018315,0.1855719
68,0.28807205,0.33518055,0.30568492
69,0.3426111,0.2854864,0.35756752
70,0.29984027,0.43503737,0.29102784
71,0.31592223,0.32045427,0.27685654
72,0.19369416,0.33019793,0.34365773
73,0.3196323,0.40292153,0.3175671
74,0.3328822,0.337237,0.32994688
75,0.41416693,0.3235235,0.244667
76,0.32404062,0.32679167,0.32853612
77,0.26306552,0.32773215,0.37929204
78,0.30889428,0.36170256,0.3125405
79,0.36648852,0.3996292,0.3092834
80,0.345595,0.3671507,0.45397693
81,0.3263567,0.4362687,0.40359426
82,0.37149122,0.4217828,0.37149122
83,0.38309574,0.3553985,0.32841638
84,0.38764352,0.43660071,0.51179487
85,0.41893166,0.46188265,0.2922195
86,0.43466854,0.36935812,0.5358154
87,0.4327091,0.40540922,0.4228588
88,0.50615716,0.49083602,0.4005434
89,0.38106918,0.39384574,0.54298013
90,0.3954039,0.32480028,0.4528518
91,0.6097274,0.49592936,0.6999798
92,0.4715928,0.3684294,0.4551417
93,0.43355656,0.63460964,0.52296174
94,0.40629074,0.5552479,0.6244053
95,0.4243773,0.5765293,0.68640554
96,0.6516364,0.53392166,0.7125814
97,0.46997696,0.5519774,0.63601166
98,0.49696317,0.65631336,0.64912605
99,0.6983622,0.6048702,0.74782294
100,0.57768846,0.6485146,0.76360047
101,0.64456546,0.5404806,0.62191206
102,0.6372141,0.813431,0.43967837
103,0.5503879,0.5503879,0.82816917
104,0.7177194,0.68878293,0.6994887
105,0.8849913,0.6778806,0.7302337
106,0.7367692,0.7831825,0.53733677
107,0.6579491,0.68573874,0.78255534
108,0.86805004,0.47757494,0.81232256
109,0.7289767,0.85528857,0.84503245
110,0.7870517,0.8630618,0.8917396
111,0.6946918,0.6907926,0.8622532
112,0.6723808,0.7743147,0.76422036
113,0.9782807,0.88066113,0.90484965
114,0.66708827,0.78078836,0.8018997
115,0.8193566,0.77583444,0.67996246
116,0.7493191,0.66737574,0.9145543
117,0.85837674,0.79953486,0.93194306
118,0.93150514,0.98848784,0.9163475
119,0.973693,0.87538695,0.6350199
120,0.9356011,0.91564304,0.89835125
121,0.9158949,0.8021285,0.92830175
122,0.8808122,0.839007,0.91926
123,0.87509817,0.9236099,0.90245265
124,0.8035805,0.9453068,0.9180907
125,0.9672899,0.8858204,0.9037422
126,0.94718146,0.8349071,0.9147356
127,0.7644727,0.84260076,0.94775563
128,0.8233503,0.9393564,0.9712415
129,0.9636004,0.87513876,0.98800886
130,0.9540876,0.8493552,0.96970266
131,0.80796206,0.8690483,0.9894027
132,0.97043097,0.87177145,0.981875
133,0.9248717,0.90244377,0.9150097
134,0.97399914,0.9293846,0.93975013
135,0.91968197,0.89729214,0.84850127
136,0.98780483,0.97596824,0.9130279
137,0.8767156,0.9736292,0.96407884
138,0.97950494,0.8833864,0.97853905
139,0.85422885,0.8471496,0.9692796
140,0.92603785,0.94888586,0.97712576
141,0.9498153,0.9722156,0.90125257
142,0.9544204,0.96275514,0.88704056
143,0.85901403,0.95469517,0.93966615
144,0.9534229,0.98562354,0.92272127
145,0.99370605,0.9932521,0.9769776
146,0.99027604,0.83191264,0.95271575
147,0.9519759,0.91871274,0.9341504
148,0.9872391,0.9503093,0.8830102
149,0.9684335,0.9315092,0.9684335
150,0.8600404,0.9884258,0.9247752
151,0.9439978,0.978726,0.97069854
152,0.9333666,0.98422575,0.9672387
153,0.98628336,0.9725114,0.9206494
154,0.9765072,0.8603849,0.8603849
155,0.94277614,0.9935689,0.9663871
156,0.86383206,0.9922999,0.9265252
157,0.93311197,0.98452276,0.9764707
158,0.8677391,0.94003373,0.9880465
159,0.9848015,0.9467426,0.941501
160,0.9899273,0.96764016,0.897667
161,0.9938991,0.94394016,0.96421707
162,0.99154794,0.86232996,0.98629266
163,0.987796,0.9797098,0.94904006
164,0.9896489,0.9806196,0.9893354
165,0.977101,0.95762914,0.9605356
166,0.97722495,0.9906218,0.99194074
167,0.99691933,0.98175395,0.9740149
168,0.99381673,0.97720003,0.964377
169,0.97970253,0.95538026,0.84750694
170,0.9874289,0.9833428,0.95789367
171,0.98742926,0.9853579,0.9860797
172,0.93050903,0.9567909,0.94820285
173,0.9840339,0.9928348,0.9926381
174,0.9882021,0.9548914,0.9706854
175,0.9959176,0.9854719,0.9873652
176,0.98884785,0.993452,0.9498462
177,0.96421015,0.9854746,0.9795518
178,0.8112784,0.97794604,0.98101676
179,0.99117804,0.9876716,0.99069476
180,0.9412025,0.9957475,0.9608615
181,0.97084475,0.98798645,0.94930935
182,0.9875032,0.9815883,0.99560547
183,0.95230865,0.9185212,0.987494
184,0.9869055,0.9536463,0.9884222
185,0.97953635,0.8961537,0.97300094
186,0.9790157,0.9449533,0.97568756
187,0.979418,0.9909013,0.8797999
188,0.95533603,0.97064245,0.97157645
189,0.82497746,0.9210337,0.9948374
190,0.9854619,0.9777484,0.9963487
191,0.9943212,0.97656465,0.93772304
192,0.964966,0.9953046,0.9390621
193,0.8671816,0.96862763,0.99346346
194,0.9868436,0.8662763,0.9166205
195,0.9478789,0.9783982,0.86950463
196,0.96263695,0.9581212,0.9899274
197,0.91074467,0.98884386,0.97715783
198,0.97048455,0.93392724,0.93024284
199,0.97668386,0.92726815,0.9716043
200,0.92755556,0.9162597,0.9930606
201,0.94933504,0.92642134,0.9915567
202,0.91358596,0.980554,0.95834154
203,0.9495259,0.95843965,0.95809066
204,0.84036326,0.9932403,0.98729914
205,0.9780888,0.8720683,0.95035356
206,0.95579743,0.92648685,0.9732659
207,0.8951344,0.85576636,0.8696049
208,0.9332107,0.9193422,0.9726582
209,0.93224007,0.97253954,0.920993
210,0.93924844,0.9488161,0.8929772
211,0.9016197,0.8562346,0.970392
212,0.916295,0.92392284,0.89738244
213,0.837103,0.92247325,0.93410695
214,0.9376617,0.87473446,0.8890565
215,0.8355645,0.9832377,0.79686797
216,0.8664284,0.98211163,0.8574745
217,0.9281258,0.910067,0.9319472
218,0.8970796,0.7938117,0.91926086
219,0.9815594,0.897338,0.89311135
220,0.9494885,0.93509966,0.9632149
221,0.881485,0.8448951,0.83152694
222,0.8760152,0.8526517,0.81442755
223,0.8732585,0.96769273,0.97511744
224,0.8874915,0.80538136,0.9780683
225,0.8522308,0.9073763,0.9785285
226,0.8874319,0.8876546,0.8686117
227,0.9365402,0.8654246,0.9105808
228,0.9033659,0.8749673,0.85216886
229,0.95123035,0.9122071,0.8863263
230,0.91777664,0.8980719,0.814502
231,0.965223,0.8407968,0.85048014
232,0.9350393,0.7478702,0.88879603
233,0.8456829,0.92674536,0.94524264
234,0.82234854,0.7920141,0.9382759
235,0.8461475,0.8652903,0.9747028
236,0.83362293,0.9637073,0.9307284
237,0.79222286,0.77428395,0.85307807
238,0.7877662,0.80553484,0.88325554
239,0.7784055,0.79198474,0.8178623
240,0.90809566,0.7994465,0.82092714
241,0.8027929,0.9367979,0.900551
242,0.8030606,0.8758472,0.893224
243,0.79537845,0.9135814,0.8831726
244,0.7643871,0.81852764,0.7492415
245,0.81596994,0.78522193,0.8082946
246,0.91691434,0.8437996,0.9302831
247,0.899786,0.77578634,0.9046695
248,0.80418307,0.77986443,0.8771471
249,0.8028064,0.8107396,0.81788325
250,0.7766224,0.80609256,0.9626623
251,0.7312488,0.7250629,0.73899966
252,0.7679612,0.9468952,0.82907754
253,0.8235721,0.89356214,0.9063801
254,0.70743275,0.706612,0.74965936
255,0.7210263,0.734564,0.7558823
256,0.7471149,0.77612466,0.8549729
257,0.81236255,0.76868296,0.7960713
258,0.8061883,0.8495429,0.7785238
259,0.87836814,0.73164076,0.7693849
260,0.9485499,0.8163122,0.7681398
261,0.7488858,0.79049087,0.7389873
262,0.7533681,0.8265761,0.86987907
263,0.8154432,0.779616,0.76234543
264,0.78446764,0.731008,0.8746458
265,0.74514097,0.8609496,0.7843573
266,0.80838543,0.7629983,0.79395896
267,0.8077845,0.7898754,0.804267
268,0.7246758,0.705495,0.7309439
269,0.8044226,0.76086354,0.7898927
270,0.7536596,0.8060627,0.75678873
271,0.7350532,0.7663859,0.7479582
272,0.8138582,0.713469,0.7104997
273,0.7286707,0.80591846,0.8266383
274,0.7189679,0.6936363,0.7189679
275,0.6962418,0.7768948,0.7800091
276,0.7164655,0.791918,0.70116025
277,0.6948808,0.77088726,0.7429644
278,0.762651,0.7249528,0.83789045
279,0.6977939,0.7599455,0.67566365
280,0.84657705,0.73363924,0.7796598
281,0.7543174,0.7543174,0.79261875
282,0.7351219,0.69559443,0.7225888
283,0.86012685,0.73235685,0.7169367
284,0.71898496,0.71018434,0.6732842
285,0.6998963,0.80332935,0.7482476
286,0.6701078,0.7429879,0.7930791
287,0.70572007,0.6976233,0.7396301
288,0.687978,0.72294265,0.76149315
289,0.78211933,0.7255911,0.7461072
290,0.69928795,0.75024605,0.6945356
291,0.7381043,0.767509,0.7357977
292,0.74769616,0.810757,0.8291742
293,0.7274384,0.7125482,0.8846146
294,0.777256,0.7987872,0.7227565
295,0.91373986,0.78914684,0.72545695
296,0.75153285,0.7515835,0.7911805
297,0.72560716,0.8881345,0.6657318
298,0.7422558,0.7471676,0.73951966
299,0.8155712,0.8423603,0.74175847
300,0.723717,0.6455979,0.7765371
301,0.8407621,0.7300576,0.68597674
302,0.6825113,0.6705602,0.80243003
303,0.9396607,0.7375943,0.8428972
304,0.7738065,0.8719407,0.78372693
305,0.7089513,0.68626297,0.70821846
306,0.7307076,0.759157,0.77192557
307,0.76161087,0.76855713,0.82594943
308,0.8427507,0.73313314,0.7260722
309,0.74676764,0.7483487,0.72027487
