,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.21793756,0.43109077,0.6172559
1,0.38801882,0.28147635,0.5607236
2,0.45670447,0.5019355,0.53563327
3,0.49223176,0.3410486,0.31746164
4,0.39026877,0.44342604,0.7972401
5,0.43765584,0.36751825,0.46028635
6,0.39898083,0.30836764,0.48079017
7,0.29070634,0.39003116,0.33174396
8,0.55855805,0.4476079,0.45331115
9,0.3455763,0.44761094,0.49286315
10,0.33791098,0.44303334,0.40186772
11,0.3731407,0.21578953,0.34199366
12,0.5749924,0.6755715,0.458836
13,0.6773434,0.65897894,0.44250807
14,0.73729956,0.37913513,0.67168266
15,0.6555119,0.6415871,0.3384955
16,0.30213436,0.61766076,0.44354966
17,0.16125323,0.5672342,0.30778348
18,0.66201615,0.4094785,0.21500576
19,0.4028272,0.36898065,0.31413296
20,0.42521554,0.69331914,0.42587394
21,0.25672957,0.31782213,0.46185058
22,0.27114457,0.5497507,0.24934855
23,0.18094926,0.341697,0.38741225
24,0.2580456,0.12485819,0.29115692
25,0.2136788,0.1715856,0.5508091
26,0.27156183,0.25893292,0.27976102
27,0.5182129,0.3570754,0.2147734
28,0.30642056,0.78958756,0.51248175
29,0.29761067,0.25931555,0.15485322
30,0.26843414,0.22982723,0.27521893
31,0.3104535,0.27810287,0.3256276
32,0.28888267,0.5070881,0.21902761
33,0.2816677,0.22259928,0.27880442
34,0.27211067,0.30698788,0.20982908
35,0.3105938,0.21509203,0.20103708
36,0.33440906,0.18902303,0.31965604
37,0.2602074,0.23823833,0.32347214
38,0.23447423,0.27274352,0.3263836
39,0.19027501,0.2612754,0.33409917
40,0.34404466,0.3028138,0.3376008
41,0.35090563,0.31934673,0.26845798
42,0.38495585,0.2837071,0.36106107
43,0.36637917,0.27636313,0.24129727
44,0.28524494,0.23952915,0.30716377
45,0.2960136,0.2034068,0.2960136
46,0.21248394,0.2861854,0.2599062
47,0.20728676,0.22018448,0.29577854
48,0.27641246,0.24196663,0.23741294
49,0.2590323,0.2908135,0.22455561
50,0.24768099,0.3324845,0.19368953
51,0.28153187,0.22094633,0.29144976
52,0.26802018,0.34923437,0.23314026
53,0.25324094,0.21792667,0.2887606
54,0.17459115,0.192077,0.2704451
55,0.23219387,0.2444519,0.3503657
56,0.20018686,0.32268736,0.21802707
57,0.38751772,0.33370844,0.29255575
58,0.3126384,0.20675515,0.21135536
59,0.27753553,0.24194223,0.213372
60,0.23371515,0.24546182,0.26662973
61,0.28314903,0.28879225,0.27999976
62,0.27621654,0.23053934,0.2293094
63,0.22426006,0.26160046,0.25807133
64,0.31258422,0.31318057,0.27462792
65,0.4195672,0.21904707,0.2760361
66,0.49397877,0.2639518,0.4060654
67,0.27757326,0.27606642,0.20631295
68,0.2624374,0.30155355,0.2832426
69,0.31336123,0.27721635,0.32425776
