,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.25687954,0.43020335,0.63793933
1,0.44099054,0.30414724,0.5816177
2,0.44974095,0.51352674,0.5810341
3,0.5017717,0.3361635,0.32645038
4,0.40572757,0.44043228,0.79866546
5,0.47333905,0.36703917,0.5239592
6,0.4162332,0.2999155,0.54521954
7,0.29495966,0.3897553,0.32354766
8,0.57379097,0.49567008,0.4679839
9,0.35099325,0.4253417,0.5072185
10,0.32110777,0.49026045,0.41651332
11,0.37958097,0.2427574,0.33698547
12,0.57662743,0.68709075,0.44058105
13,0.6805853,0.66953,0.45399764
14,0.72222066,0.36782572,0.6690237
15,0.6590567,0.6827512,0.35861
16,0.29578692,0.63062817,0.40872353
17,0.15264116,0.5494673,0.3092365
18,0.6604373,0.43937203,0.2145127
19,0.40614045,0.38395464,0.28403798
20,0.4447282,0.6617595,0.43666103
21,0.26050204,0.32304633,0.4411458
22,0.28350794,0.53150386,0.27466184
23,0.1628051,0.36156732,0.3711086
24,0.26070255,0.13155156,0.32980186
25,0.2539424,0.1592663,0.54446495
26,0.28513005,0.2945109,0.30818802
27,0.5619282,0.33963463,0.20168108
28,0.34923625,0.7973095,0.5476176
29,0.32826403,0.29306984,0.18163775
30,0.29091644,0.23188527,0.31199095
31,0.31187376,0.3080701,0.36820382
32,0.2957699,0.52232265,0.24622361
33,0.32772902,0.25263637,0.2734636
34,0.28802937,0.31804004,0.22946401
35,0.3559474,0.2188017,0.21710953
36,0.3785126,0.1829197,0.3604484
37,0.29562098,0.22341448,0.35671124
38,0.2382734,0.30757448,0.34683698
39,0.20473847,0.2836722,0.36221337
40,0.39612535,0.30509228,0.37623414
41,0.3966195,0.3339226,0.30299488
42,0.40099037,0.31756568,0.4117174
43,0.40115908,0.30387774,0.27651674
44,0.32842296,0.23729165,0.35359135
45,0.314365,0.22504005,0.314365
46,0.26032156,0.319598,0.3110428
47,0.24409042,0.25060838,0.31288168
48,0.31147182,0.2821898,0.25881073
49,0.29877344,0.34516093,0.26246527
50,0.29084125,0.38400754,0.2174882
51,0.33702132,0.2530654,0.34550375
52,0.2981971,0.39132425,0.27374992
53,0.30459285,0.24557123,0.3300738
54,0.19984922,0.21008739,0.31122875
55,0.26458976,0.2819061,0.4144915
56,0.23775582,0.37640026,0.24756292
